"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 21 08:57:51 CEST 2020","Mon Sep 21 08:57:59 CEST 2020","8495","","Opening Careers tab in 10Clouds page and typing Automation in search box","","Opening Careers tab in 10Clouds page and typing Automation in search box","should validate that each job title contains Automation","should validate that each job title contains Automation",""
"passed","Mon Sep 21 08:57:51 CEST 2020","Mon Sep 21 08:57:58 CEST 2020","7849","","Opening Careers tab in 10Clouds page","","Opening Careers tab in 10Clouds page","should validate that there is exactly 1 QA Automation Engineer role open","should validate that there is exactly 1 QA Automation Engineer role open",""
